pref_name,umls_cui_linked,average_depth,trials_count,pubmed_count,search_frequency,select_frequency
"Carcinoma breast stage i",C0038559,4.72,297,NULL,4,NULL
"Gastrointestinal stromal tumor",C0021456,5.3523,297,1998,5,5
"Cocaine dependence",C0110342,5.1111,303,NULL,1,NULL
"D stage i plasma cell myeloma",C0038676,11.8333,303,NULL,3,3
"Malignant neoplasm of breast stage i",C0202025,9,304,NULL,1,NULL
"Heart valve disease",C0006301,4.9552,309,16975,1,NULL
"Muscular atrophy",C0007238,4.3619,310,7683,2,NULL
Anorexia,C0000189,4.1622,310,12864,4,1
"Acute leukemia",C0009370,6.6324,310,NULL,4,6
"Common wart",C0000230,4.8772,312,NULL,1,NULL
Macule,C0040186,4.2667,313,NULL,3,NULL
"Pancreatic disease",C0007798,4,314,11969,9,NULL
"Intervertebral disc degeneration",C0014705,7.2917,315,931,2,NULL
Thalassemia,C0008740,5.4745,318,9671,8,1
"Adult acute myeloblastic leukemia",C0017979,9.625,321,NULL,5,3
"Carcinoma in situ of uterine cervix",C0004052,12.2572,321,7818,10,NULL
"Ankylosing spondylitis",C0008575,6.6017,322,10289,18,2
"Chest pain",C0005272,4.4118,323,7237,1,1
"Abdominal aortic aneurysm",C0017462,10.0531,324,10487,2,NULL
"Psoriatic arthritis",C0004894,6.2857,324,2646,8,3
Rheumatism,C0000997,3.7778,328,18811,6,NULL
"Alcohol use disorder",C0004703,4,331,NULL,1,NULL
"Generalized glycogen storage disease of infant",C0000731,5.6545,332,855,15,2
"Musculoskeletal and connective tissue disorder",C0001027,2.4808,332,6893,3,NULL
"Non-small cell lung cancer stage iiia",C0038808,9.7612,333,NULL,3,5
"Hamman-rich syndrome",C0001606,9.8624,335,651,42,4
Sinusitis,C0008498,5.2627,338,11832,3,NULL
"Stage iv rectal carcinoma",C0129106,8.0465,338,NULL,1,1
"Adult glioblastoma",C0038780,10.5172,341,NULL,25,12
Meningitis,C0007122,4.6143,343,17304,19,3
"Cognition disorder",C0005386,4.3043,344,33488,2,NULL
"Bone disease",C0005060,3.7907,346,18755,1,NULL
"Diabetic nephropathy",C0000038,5.2871,346,16077,2,NULL
"Pathological accumulation of air in tissue",C0000830,5.8132,347,17107,10,NULL
"Diabetic foot ulcer",C0158469,8.3636,349,NULL,1,NULL
"D stage ii plasma cell myeloma",C0038677,11.8333,352,NULL,3,1
"Mantle cell lymphoma stage iv",C0110434,9.381,352,NULL,1,NULL
"Brain hemorrhage",C0000689,5.1484,357,24565,9,1
"Depressive symptom",C0009415,4.1429,359,NULL,1,NULL
Plasmacytoma,C0007985,7.7879,359,7611,1,NULL
"Opiate addiction",C0087773,5,362,NULL,1,NULL
"Ki-1+ anaplastic large cell lymphoma",C0017827,7.8462,363,855,1,NULL
"Metastatic prostate carcinoma",C0135022,5.9333,365,NULL,12,5
"Stage iv ovarian carcinoma",C0038653,6.0893,366,NULL,8,NULL
"Colon cancer recurrent",C0038589,8.3607,371,NULL,9,10
"Cytomegalovirus infection",C0005523,3.9556,374,17577,14,1
"Blast phase",C0005034,7.5912,378,2079,4,NULL
Neutropenia,C0001095,5.0857,379,12719,1,NULL
"Vaginal disease",C0009007,6.3571,379,3493,2,NULL
"Muscular dystrophy",C0007241,4.7,381,12294,7,NULL
Scleroderma,C0002938,3.8889,382,13875,21,1
"Psychological stress",C0008622,3.6897,382,67920,1,NULL
"Hay fever",C0006274,7.4122,382,10665,3,NULL
"D stage iii plasma cell myeloma",C0038678,11.8333,383,NULL,2,4
"Chronic low back pain",C0076810,7.6667,386,NULL,1,NULL
"Disorder of endocrine gonad",C0000709,3.1186,388,8135,5,NULL
"Digestive system disorder",C0005631,2.0333,389,3684,4,NULL
"Obsessional neurosis",C0001738,3.7436,393,9381,4,2
"Malignant neoplasm of colon stage iv",C0038558,4.119,395,NULL,14,1
"Stage iv prostate carcinoma",C0038747,6.25,400,NULL,10,2
"Secondary malignant neoplasm of acromion",C0003310,11.1214,404,NULL,3,2
Endometriosis,C0005831,4.5957,405,14279,24,NULL
Astrocytoma,C0004925,6.6778,407,11616,15,NULL
"Benign prostatic hyperplasia",C0172825,8.0227,409,NULL,1,NULL
"Autoimmune disease",C0004946,2.7442,413,36893,1,NULL
"Parkinsonian disorder",C0024432,5.4921,414,4205,8,4
"Gastrointestinal neoplasm",C0006144,4.4157,414,12574,7,NULL
"Diabetic neuropathy",C0005614,4.4225,417,10426,1,NULL
"Metastatic renal cell cancer",C0038645,12.0447,430,NULL,2,3
"Acute cerebrovascular accident",C0116142,3,432,NULL,6,NULL
"Rare disease",C0110497,3.8333,434,3492,4,NULL
"Primary myelofibrosis",C0004685,6.7403,434,4547,2,2
"Neuroendocrine tumor",C0017968,5.0484,435,2705,26,1
Sarcopenia,C0133568,5.2449,437,654,1,NULL
Pancreatitis,C0007802,5.2,437,35174,39,NULL
"Bleeding tendency",C0000497,3.4789,438,12435,1,NULL
"Muscle spasticity",C0007237,4.6027,438,6470,1,NULL
"Pulmonary fibrosis",C0008183,5.283,439,14799,22,2
"Carcinoma in situ",C0005157,5.8537,440,12119,3,NULL
"Erectile dysfunction",C0000422,5.2627,443,12464,10,4
"Deep vein thrombosis",C0009658,6.8571,443,NULL,1,NULL
"Gestational diabetes",C0009248,4.4902,451,4114,7,NULL
"Congenital heart disease",C0010352,6.3483,452,NULL,2,NULL
"Sleep disorder",C0121485,3.1556,455,NULL,2,NULL
Hiv-infection/aids,C0086023,2,456,NULL,2,NULL
Osteopenia,C0007522,4.7551,459,NULL,11,NULL
"Non-small cell lung cancer recurrent",C0038581,7.4792,459,NULL,5,1
"Foot ulcer",C0009234,5.4359,461,1155,1,NULL
Dyspnea,C0005723,3.7317,463,12221,3,NULL
Herpes,C0000387,4.1027,465,18511,10,NULL
"Chronic leukemia, myelomonocytic",C0006892,7.4286,467,826,1,NULL
"Common cold",C0005408,6.3291,468,3483,6,1
"Waldenstrom macroglobulinemia",C0007028,5.9217,472,4378,7,6
"Relapsing-remitting multiple sclerosis",C0116147,5.4561,474,2191,11,8
"Burkitt lymphoma",C0005114,7.6138,488,8631,4,1
Pre-eclampsia,C0001954,5.2609,500,20898,2,NULL
"Transitional cell carcinoma",C0005168,5.2857,500,13965,7,NULL
"Prostate cancer recurrent",C0038748,6.55,501,NULL,1,1
"Acne vulgaris",C0004601,4.7949,502,8288,9,NULL
Neuroblastoma,C0007382,6.6931,503,21044,29,8
"Urinary tract infection",C0008984,4.1714,507,29219,14,NULL
Neuropathy,C0074777,4.5714,508,NULL,5,NULL
"Addictive behavior",C0009263,5.1429,510,3788,4,NULL
"Bacterial infection",C0004968,3.1091,511,54160,2,1
"Fallopian tube carcinoma",C0003760,11.3092,514,NULL,1,1
"Diabetic retinopathy",C0005615,5.6378,515,16054,1,1
"Chronic-phase leukemia, myeloid",C0006889,8.8571,516,512,1,NULL
"Motor neuron disease",C0009225,3.5593,517,2925,10,NULL
"Non-small cell lung cancer stage iiib",C0038809,9.7612,519,NULL,9,2
"Amyotrophic lateral sclerosis",C0004758,4.6421,522,9938,484,48
"Bone neoplasm",C0000013,7.0632,523,50807,32,3
"Chronic lymphocytic leukaemia refractory",C0038718,7.1333,532,NULL,1,NULL
"Metastatic malignant neoplasm to brain",C0003530,9.5456,534,NULL,11,3
"Malignant epithelial neoplasm of peritoneum",C0001860,9.3932,546,9282,11,NULL
"Secondary malignant neoplasm of intrahepatic bile duct",C0004057,10.515,549,NULL,11,NULL
"Ovarian epithelial cancer recurrent",C0038654,6.2154,560,NULL,5,3
"Breast cancer stage ii",C0038560,4.1364,569,NULL,5,2
"Cervical adenocarcinoma",C0001109,12.5663,570,NULL,1,3
"Cerebral infarction",C0005233,6.0789,573,17206,2,NULL
"Diabetic foot",C0000566,4.9063,573,4211,3,1
"Anaplastic thyroid carcinoma",C0003047,8.7134,575,32980,16,7
"Colorectal cancer metastatic",C0136590,4,576,NULL,42,2
"Hemophilia a",C0006350,5.1831,583,15427,20,2
Illness,C0000153,4.5,588,NULL,1,NULL
"Stage iiib breast carcinoma",C0038580,8.6,589,NULL,3,NULL
"T-cell lymphoma",C0009188,5.1786,593,4480,5,3
"Adenocarcinoma of pancreas",C0039513,9.1935,594,NULL,14,9
"Non-small cell lung cancer metastatic",C0038812,7.3816,595,NULL,46,6
"Morbid obesity",C0007433,7.1563,596,8129,4,NULL
"Diffuse malignant lymphoma, lymphocytic, intermediate differentiation",C0000912,7.3704,598,1223,14,NULL
Arthropathy,C0006749,3.4776,612,20341,3,1
"Nervous system disorder",C0007374,2.1522,618,31706,4,NULL
"Benign neoplasm of kidney",C0085843,8.9784,623,NULL,27,6
"Biliary tract cancer",C0003435,8.6859,624,5454,562,NULL
"Polycystic ovary syndrome",C0008024,8.5182,630,8035,10,NULL
"Benign neoplasm of prostate",C0011669,8.7166,631,NULL,2,NULL
"Retinal disease",C0008277,5.0361,631,14913,1,NULL
"Peripheral neuropathy",C0007920,3.8393,632,17517,2,NULL
"Systemic lupus erythematosus",C0006994,3.8537,633,39795,73,2
Nausea,C0007317,4.2368,637,11400,3,NULL
"Chronic hepatitis b",C0087791,8.7818,642,6486,1,NULL
"Open-angle glaucoma",C0006179,7.2706,652,8468,1,NULL
"Kidney failure",C0000025,7.3,655,NULL,15,NULL
Periodontitis,C0007917,7.2212,663,12650,5,NULL
"Mucosa-associated lymphoid tissue lymphoma",C0024463,9.9252,668,2649,2,NULL
"Follicular lymphoma",C0007017,8.8455,669,3545,11,NULL
"Cerebral palsy",C0005236,4.8986,679,13261,2,NULL
"Dry eye syndrome",C0001025,7.0743,688,2987,3,NULL
Fibromyalgia,C0006037,5.4533,689,4643,50,9
"Macular retinal edema",C0032517,8.5405,697,3013,2,NULL
Constipation,C0005449,6.7349,699,8642,1,NULL
"Breast cancer recurrent",C0038564,4.9643,701,NULL,8,7
"Metabolic disease",C0007149,2.975,706,8480,15,NULL
"Sickle cell anemia",C0004785,6.305,712,14715,3148,28
"Cardiac arrest",C0001068,6.3228,714,19469,1,NULL
"Acute myocardial infarction",C0012821,8.392,722,NULL,3,10
"Intestinal disease",C0006698,5.2632,725,15135,1,NULL
"Colorectal hyperplastic polyp",C0138015,7.2,730,NULL,1,NULL
"Autism spectrum disorder",C0158756,4,744,1909,5,6
Bedwetting,C0001452,4.8188,750,4029,1,NULL
"Non-alcoholic fatty liver disease",C0052518,5.551,758,1610,1,NULL
"Atopic dermatitis",C0000041,5.5,763,12436,29,6
"Advanced cancer",C0133885,7.6667,774,NULL,7,2
Sleeplessness,C0134420,4.25,778,NULL,13,1
"Irritable bowel syndrome",C0006726,6.6,786,2577,33,6
Hernia,C0006392,3.4103,788,6573,7,NULL
"Graft-vs-host disease",C0006229,3.6739,790,14561,60,11
Eczema,C0005756,5.9451,791,8701,13,4
"Pulmonary hypertension",C0006546,4.4524,796,20867,5,NULL
Cardiomyopathy,C0134232,5.875,799,18794,10,NULL
"Acute lymphocytic leukemia",C0006879,6.622,813,NULL,69,56
"Adult solid neoplasm",C0039174,4.5,817,NULL,1,NULL
Headache,C0006278,4.1791,824,19852,20,5
"Autistic disorder",C0004945,5.4324,836,12053,12,7
"Pathologic fistula",C0006049,3.8571,839,15850,1,NULL
"Fatty liver",C0000962,5.7339,839,11265,3,NULL
Colitis,C0005391,7.581,840,12998,16,NULL
Neuralgia,C0007377,4.75,850,6524,3,NULL
"Hyperactive behavior",C0064463,4.675,862,3461,1,NULL
"Diffuse large b-cell lymphoma",C0000004,8.1507,879,12359,16,NULL
"Acid reflux",C0000908,6.6622,888,18080,56,NULL
"Inflammatory bowel disease",C0006663,5.2167,893,9747,8,1
"Metastatic melanoma",C0038785,7.5,895,NULL,18,2
"Impaired glucose tolerance",C0002389,4.686,914,7340,6,NULL
"Disorder of eye",C0005951,3.3333,930,31398,4,NULL
"Chronic alcoholic intoxication",C0004706,4.7846,932,60914,8,NULL
"Migraine disorder",C0009691,5.2472,934,16906,47,11
"Virus disease",C0009059,2.8095,936,30824,2,NULL
Cataract,C0002134,5.4353,936,21527,2,NULL
Stenosis,C0139904,4.3235,945,21579,1,NULL
"Chronic myeloid leukemia",C0006888,7.1047,969,11753,12,1
Proctocolitis,C0000462,8.7957,978,24270,19,4
Aneurysm,C0004792,4.119,990,16409,5,NULL
"Adenohypophyseal disease",C0115735,8.0909,998,NULL,1,NULL
"Adult respiratory distress syndrome",C0008261,5.3176,1004,12761,5,1
"Hodgkin disease",C0000782,8.4662,1009,29082,16,12
"Age related macular degeneration",C0024426,9,1015,8395,14,NULL
Hypercholesterolemia,C0006503,4.4043,1023,19297,5,2
Tuberculosis,C0008885,4.6078,1025,85635,30,NULL
"Bladder adenocarcinoma",C0003307,10.681,1056,38001,59,7
Seizure,C0008420,3.8983,1068,37819,4,1
"Peripheral arterial disease",C0172859,5.5185,1087,1167,2,NULL
"Congestive heart failure",C0006291,7.2424,1088,NULL,6,1
"Hematologic neoplasm",C0002107,4.2805,1104,5943,12,NULL
"Ischemic stroke",C0136316,6.36,1121,NULL,5,1
"Attention deficit hyperactivity disorder",C0001131,4.3898,1122,14939,24,2
Thrombosis,C0008755,4.4634,1135,51480,4,1
"Liver cirrhosis",C0006957,5.9844,1136,50153,14,NULL
"Crohn disease",C0000386,5.4066,1157,25321,59,6
"Cystic fibrosis",C0005515,3.6286,1163,24723,72,16
"Cervical cancer",C0004063,8.5931,1163,51187,28,8
"Chronic hepatitis c",C0087792,8.7175,1169,11349,1,1
"Allan-herndon-dudley syndrome (ahds)",C0116364,4.3878,1169,NULL,2,NULL
"Bipolar disorder",C0005016,3.7778,1212,26099,15,NULL
"B-cell lymphoma",C0009178,5.5,1218,10515,4,3
Apnea,C0004863,4.0377,1241,5872,3,NULL
"Immunologic deficiency syndrome",C0006619,3.0417,1249,11992,4,NULL
Sepsis,C0024500,4.0517,1285,37741,1,NULL
Epilepsy,C0005868,5.1695,1292,53704,89,4
"Infantile malignant osteopetrosis",C0001112,5.5182,1303,28717,9,NULL
"Hepatitis b",C0006374,7.1985,1314,32179,13,1
"Adenocarcinoma of rectum",C0003473,11.3008,1315,29674,8,1
"Malignant neoplasm of connective and soft tissue",C0003422,5.0751,1331,25237,49,3
Psoriasis,C0008152,4.6667,1336,22968,45,14
Glaucoma,C0006175,4.0877,1342,27564,11,1
Fatigue,C0005997,3.7619,1349,15476,6,NULL
"Chronic lymphocytic leukemia",C0000228,7.9073,1367,9450,124,3
"Anxiety disorder",C0004839,3.1714,1382,19635,3,4
"Malignant neoplasm of epicardium",C0000116,10.9708,1399,NULL,8,NULL
Pneumonia,C0008003,5.6239,1409,34390,3,3
"Post-traumatic stress disorder",C0008619,4.3143,1415,16025,39,6
"Obstructive sleep apnea",C0086846,5.7451,1421,7191,2,NULL
Dementia,C0002004,4.481,1449,30443,26,6
"Metabolic syndrome x",C0087769,4.4127,1463,10511,3,NULL
"Low back pain",C0006976,5.7805,1463,10980,6,1
"Precursor cell lymphoblastic leukemia lymphoma",C0194556,7.5455,1514,16076,4,NULL
"Adenocarcinoma of colon",C0001481,12.2443,1516,1529,152,18
"Psychotic disorder",C0008171,3.5897,1525,32347,5,1
"Chronic pain",C0009759,4.9524,1527,1981,20,5
"Carcinoma breast stage iv",C0038562,4.0714,1555,NULL,49,5
Arteriosclerosis,C0000794,5.4353,1599,66422,4,NULL
"Sleep apnea syndrome",C0008519,4.3978,1650,10370,4,NULL
"Back pain",C0004963,4.6,1673,13321,8,NULL
"Mental disorder",C0004992,2.25,1711,115598,1,1
"Chronic kidney failure",C0001816,8.0174,1718,65266,4,NULL
"Knee osteoarthritis",C0055316,5.8214,1775,6787,20,3
"Myelodysplastic syndrome",C0311297,4.8932,1845,8565,21,NULL
"Solid neoplasm",C0039175,3.5,1851,NULL,34,NULL
Ulcer,C0008924,3.8438,1854,11738,1,NULL
Anemia,C0004767,4.1224,1859,39411,4,2
"Early gastric cancer",C0003382,10.3322,1876,63825,52,8
Influenza,C0006665,4.2031,1910,24879,8,3
Infertility,C0006647,3.9074,1957,10823,1,NULL
"Major depressive disorder",C0141946,4.3793,1965,12887,243,3
"Chronic kidney disease",C0000203,7.8304,1988,3636,3,NULL
"Multiple sclerosis",C0007228,4.6374,1997,32786,318,47
"Pulmonary tuberculosis",C0008906,6.9786,2005,64092,45,44
"Impaired cognition",C0001550,4.6923,2046,3321,2,NULL
"Acquired immunodeficiency syndrome",C0000077,4.6056,2105,69253,13,2
Infarction,C0006643,4.3095,2117,7216,2,NULL
"Non-hodgkin lymphoma",C0007021,6.3107,2125,29397,37,7
"Lymphoid leukemia",C0006878,5.959,2128,21082,1,NULL
"Basal cell carcinoma",C0000213,11.9752,2130,129224,57,8
"Hepatitis c",C0006382,7.6522,2133,25763,22,2
"Coronary thrombosis",C0000549,6.6484,2175,125019,18,1
"Alzheimer's disease",C0000159,5.4766,2195,52419,172,26
"Atrial fibrillation",C0004935,6.9412,2213,26027,16,NULL
"Colorectal carcinoma",C0005402,7.7692,2280,NULL,9,NULL
"Hepatitis a",C0006373,7.078,2299,18995,4,NULL
Tension,C0019570,4.3333,2309,NULL,1,NULL
Melanoma,C0007106,5.3882,2319,56138,622,21
"Functional disorder",C0038240,5,2329,NULL,1,NULL
Anxiety,C0002597,3.7222,2358,44498,20,3
"Myeloid leukemia",C0000611,6.8117,2364,21404,1,NULL
Sclerosis,C0008404,3.9524,2371,6856,8,1
"Rheumatoid arthritis",C0004895,4.487,2388,72016,32,7
"Acute leukemia, myelocytic",C0006886,7.6736,2389,24276,96,10
"Parkinson disease",C0007851,5.6818,2390,37640,219,85
Malnutrition,C0017377,3.7021,2399,4568,1,NULL
"Urologic disease",C0008988,3.6364,2399,11189,8,1
"Dermatologic disorder",C0001407,3.4,2404,47094,1,NULL
"Insulin-dependent diabetes mellitus",C0005606,4.1078,2440,51605,45,3
"Liver carcinoma",C0003596,9.59,2451,93516,81,8
"Malignant neoplasm of cardia",C0011303,10.5019,2469,NULL,1,NULL
Fibrosis,C0006039,3.6216,2507,13874,5,NULL
"Multiple myeloma",C0002090,5.6989,2531,26938,136,51
"Carcinoma of ovary, stage 1",C0001316,11.7521,2544,60112,112,24
Schizophrenia,C0008385,3.913,2658,70754,13,1
"Allergic condition",C0001153,3.3846,2680,38544,2,NULL
Hepatitis,C0006372,5.1846,3052,20472,7,NULL
Arthritis,C0004890,4.5614,3072,30164,28,4
"Heart disease",C0000829,3.8462,3084,52681,20,36
"Kidney disease",C0002167,4.5114,3114,63440,8,7
Symptom,C0158480,2.4,3208,NULL,1,NULL
"Degenerative polyarthritis",C0000180,4.6575,3415,25115,2,NULL
Inflammation,C0006653,3.5116,3470,72976,2,NULL
"Chronic obstructive airway disease",C0006988,5.6724,3491,13914,36,5
Asthma,C0004922,4.1858,3525,90500,20,4
"Depressive disorder",C0005584,3.3103,3650,52489,204,14
"Coronary heart disease",C0005471,4.2333,3745,119787,1,NULL
"Cardiovascular disease",C0005177,3.0213,3764,77282,17,1
"Neoplasm metastasis",C0007335,3.5849,3890,71702,15,NULL
"Heart failure",C0006290,4.8462,3952,69083,36,NULL
"Adenocarcinoma of prostate",C0003293,10.4362,4459,70895,220,23
"Cerebrovascular accident",C0008625,4.8681,4711,37726,16,NULL
"Hiv infection",C0006460,4.1429,4731,109369,5,6
Lymphoma,C0002912,5.449,5085,42800,56,9
Diabetes,C0005602,2.5,5174,NULL,15,18
Leukemia,C0006868,4.4078,5203,49606,68,12
"Lung disease",C0006986,4.0222,5216,56043,13,20
"Hypertensive disease",C0000008,3.8657,5775,173008,19,4
"Depressed mood",C0001978,3.9565,6011,60520,4,4
"Blood and lymphatic system disorder",C0121352,1.2727,6114,NULL,2,NULL
"Communicable disease",C0000356,2.7361,6350,50991,3,1
"Non-insulin-dependent diabetes mellitus",C0005608,4.2667,7166,61302,54,1
Obesity,C0007432,5.5909,7452,93715,16,NULL
Pain,C0007784,4.0132,8507,93252,11,2
"Breast cancer 3",C0000050,10.193,9178,176087,1083,81
"Diabetes mellitus",C0005604,3.6512,11531,81729,100,24
Adenocarcinoma,C0000043,10.1069,38598,959772,11016,336
